A,B,C,D,E,F,G
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
sin,0.23399999999999999,0.544,0.562,0.5660000000000001,0.538,Fear
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
hate hate,0.20400000000000001,0.8119999999999999,0.648,0.636,0.604,Anger
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
unhappy,0.21600000000000003,0.53,0.762,0.49000000000000005,0.376,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie most,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie most,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244,Happiness
pie most,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
beauty,0.884,0.29,0.294,0.27799999999999997,0.256,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
not,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
most,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
more,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
news,0.42800000000000005,0.418,0.49000000000000005,0.466,0.418,Sadness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
more,0,0,0,0,0,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
pie,0.772,0.244,0.238,0.23199999999999998,0.266,Happiness
